review_id,sample_id,target_paper,case_type,task_mode,difficulty,review_reason,requirement_nl,clarified_requirement,oracle_answer,signal_context,predicted_formula,gold_formula,alternative_gold_stl,predicted_question,gold_clarification_question,equivalence_hint,affected_condition_count,affected_conditions,reviewer_1_decision,reviewer_1_error_category,reviewer_1_notes,reviewer_2_decision,reviewer_2_error_category,reviewer_2_notes,final_decision,final_error_category,final_notes
MR-083,NLSTL150-123,Formula-first robotics,source_formula,translate,4,Valid but non-identical formula; semantic equivalence not established,"Whenever robot 2 comes within distance d of robot 1, robot 1 must reach within d_prime of location L within T seconds.",,,"Objects/locations: `rob1_pos` (robot-1 position), `rob2_pos` (robot-2 position). Parameters: `d` (proximity-distance parameter), `T` (time horizon/deadline parameter), `L` (target location), `d_prime` (target-distance tolerance parameter). Semantics: `distance(a,b)` = separation distance. Time: seconds. Use these exact identifiers; do not create aliases.","G(distance(rob2_pos, rob1_pos) < d -> F[0,T](distance(rob1_pos, L) < d_prime))","G((distance(rob1_pos, rob2_pos) < d) -> F[0,T](distance(rob1_pos, L) < d_prime))",,,,Possible symmetric-distance equivalence; pass only if signal_context defines distance as symmetric.,1,Anthropic direct,,,,,,,,,
MR-084,NLSTL150-125,Formula-first robotics,source_formula,translate,5,Valid but non-identical formula; semantic equivalence not established,"Whenever the pilot command is at least m, the actuator position must, within T time units, become less than n away from the command and remain that accurate for t time units.",,,"Numeric signals/parameters: `cmd` (pilot command), `pos` (actuator position), `m` (command threshold), `n` (error tolerance), `T` (response deadline), `t` (required holding duration). `abs(x)` is absolute value. Use exact identifiers.","G((cmd >= m) -> F[0,T](G[0,t](abs(pos - cmd) < n)))","G((cmd >= m) -> F[0,T](G[0,t](abs(cmd - pos) < n)))",,,,Possible absolute-difference symmetry: |a-b| = |b-a|.,2,Anthropic direct; OpenAI direct,,,,,,,,,
MR-085,NLSTL150-126,Formula-first robotics,source_formula,translate,3,Valid but non-identical formula; semantic equivalence not established,"During the next 10 seconds, measured angular velocity must remain within 0.2 rad/s of the commanded angular velocity.",,,"Numeric: `cmd_angular_z` [rad/s], `robot_angular_z` [rad/s]. Semantics: `abs(x)` = absolute value. Time: seconds. Use these exact identifiers; do not create aliases.","G[0,10](abs(robot_angular_z - cmd_angular_z) <= 0.2)","G[0,10](abs(cmd_angular_z - robot_angular_z) <= 0.2)",,,,Possible absolute-difference symmetry: |a-b| = |b-a|.,4,Anthropic direct; Clarify-inspired Anthropic; Clarify-inspired OpenAI; OpenAI direct,,,,,,,,,
MR-086,NLSTL150-128,Formula-first robotics,source_formula,translate,4,Valid but non-identical formula; semantic equivalence not established,All pairs of robots must remain at least d_safe apart throughout the mission.,,,"Objects/locations: `p_i` (position of robot i), `p_j` (position of robot j). Parameters: `d_safe` (minimum safe-distance parameter). Semantics: `distance(a,b)` = separation distance; indexed AND = conjunction over the indexed set. Time: follows the requirement; unbounded operators have no finite interval. Use these exact identifiers; do not create aliases.","G(AND_{i,j: i < j}(distance(p_i,p_j) >= d_safe))","G(AND_{i<j}(distance(p_i,p_j) >= d_safe))",,,,,1,OpenAI direct,,,,,,,,,
MR-087,NLSTL150-128,Formula-first robotics,source_formula,translate,4,Valid but non-identical formula; semantic equivalence not established,All pairs of robots must remain at least d_safe apart throughout the mission.,,,"Objects/locations: `p_i` (position of robot i), `p_j` (position of robot j). Parameters: `d_safe` (minimum safe-distance parameter). Semantics: `distance(a,b)` = separation distance; indexed AND = conjunction over the indexed set. Time: follows the requirement; unbounded operators have no finite interval. Use these exact identifiers; do not create aliases.","G(AND_{i,j} (distance(p_i,p_j) >= d_safe))","G(AND_{i<j}(distance(p_i,p_j) >= d_safe))",,,,,1,Anthropic direct,,,,,,,,,
MR-088,NLSTL150-129,Formula-first robotics,source_formula,translate,3,Valid but non-identical formula; semantic equivalence not established,"Robot 1 must reach region A between 10 and 20 seconds, and robot 2 must reach region B between 15 and 25 seconds.",,,"Boolean (1=true, 0=false): `in_A_r1`, `in_B_r2`. Time: seconds. Use these exact identifiers; do not create aliases.","F[10,20](in_A_r1 = 1) & F[15,25](in_B_r2 = 1)","F[10,20](in_A_r1) & F[15,25](in_B_r2)",,,,,4,Anthropic direct; Clarify-inspired Anthropic; Clarify-inspired OpenAI; OpenAI direct,,,,,,,,,
MR-089,NLSTL150-130,Formula-first robotics,source_formula,translate,4,Valid but non-identical formula; semantic equivalence not established,"The rover must visit the sample region before visiting the communication region, both within 120 seconds.",,,"Boolean (1=true, 0=false): `sample_region`, `communication_region`. Time: seconds. Use these exact identifiers; do not create aliases.","F[0,120](sample_region & F(communication_region))","F[0,120](sample_region & F[0,120](communication_region))",,,,,1,Anthropic direct,,,,,,,,,
MR-090,NLSTL150-131,Formula-first robotics,source_formula,translate,5,Valid but non-identical formula; semantic equivalence not established,"At every time during the first 300 seconds, some robot must visit the surveillance region within the next 30 seconds.",,,Objects/locations: `robot_i` (robot indexed by i). Semantics: `OR_i` = disjunction over robots; `in_surveillance(robot_i)` = robot i is in the surveillance region. Time: seconds. Use these exact identifiers; do not create aliases.,"G[0,300](OR_i(F[0,30](in_surveillance(robot_i))))","G[0,300](F[0,30](OR_i(in_surveillance(robot_i))))",,,,,1,Anthropic direct,,,,,,,,,
MR-091,NLSTL150-132,Formula-first robotics,source_formula,translate,4,Valid but non-identical formula; semantic equivalence not established,Keep the door open until both robots have crossed it within 40 seconds.,,,"Boolean (1=true, 0=false): `door_open`, `crossed_r1`, `crossed_r2`. Time: seconds. Use these exact identifiers; do not create aliases.","(door_open = 1) U[0,40] ((crossed_r1 = 1) & (crossed_r2 = 1))","(door_open = 1) U[0,40] (crossed_r1 & crossed_r2)",,,,"Possible Boolean-shorthand equivalence (e.g., x versus x = 1); confirm signal_context declares the identifier Boolean.",1,OpenAI direct,,,,,,,,,
MR-092,NLSTL150-132,Formula-first robotics,source_formula,translate,4,Valid but non-identical formula; semantic equivalence not established,Keep the door open until both robots have crossed it within 40 seconds.,,,"Boolean (1=true, 0=false): `door_open`, `crossed_r1`, `crossed_r2`. Time: seconds. Use these exact identifiers; do not create aliases.","(door_open) U[0,40] (crossed_r1 & crossed_r2)","(door_open = 1) U[0,40] (crossed_r1 & crossed_r2)",,,,,2,Anthropic direct; Clarify-inspired Anthropic,,,,,,,,,
MR-093,NLSTL150-133,Formula-first robotics,source_formula,translate,3,Valid but non-identical formula; semantic equivalence not established,"Whenever a fire alarm event occurs, the robot must reach the exit within 20 seconds.",,,"Boolean (1=true, 0=false): `fire_alarm_event`, `at_exit`. Time: seconds. Use these exact identifiers; do not create aliases.","G((fire_alarm_event -> F[0,20](at_exit)))","G(fire_alarm_event -> F[0,20](at_exit = 1))",,,,,1,Anthropic direct,,,,,,,,,
MR-094,NLSTL150-133,Formula-first robotics,source_formula,translate,3,Valid but non-identical formula; semantic equivalence not established,"Whenever a fire alarm event occurs, the robot must reach the exit within 20 seconds.",,,"Boolean (1=true, 0=false): `fire_alarm_event`, `at_exit`. Time: seconds. Use these exact identifiers; do not create aliases.","G((fire_alarm_event = 1) -> F[0,20](at_exit = 1))","G(fire_alarm_event -> F[0,20](at_exit = 1))",,,,"Possible Boolean-shorthand equivalence (e.g., x versus x = 1); confirm signal_context declares the identifier Boolean.",2,Clarify-inspired Anthropic; Clarify-inspired OpenAI,,,,,,,,,
MR-095,NLSTL150-133,Formula-first robotics,source_formula,translate,3,Valid but non-identical formula; semantic equivalence not established,"Whenever a fire alarm event occurs, the robot must reach the exit within 20 seconds.",,,"Boolean (1=true, 0=false): `fire_alarm_event`, `at_exit`. Time: seconds. Use these exact identifiers; do not create aliases.","G(fire_alarm_event -> F[0,20](at_exit))","G(fire_alarm_event -> F[0,20](at_exit = 1))",,,,,1,OpenAI direct,,,,,,,,,
MR-096,NLSTL150-134,Formula-first robotics,source_formula,translate,3,Valid but non-identical formula; semantic equivalence not established,"When a pickup request is received, a robot must arrive at the pickup area within 30 seconds.",,,"Boolean (1=true, 0=false): `pickup_request_event`, `robot_at_pickup`. Time: seconds. Use these exact identifiers; do not create aliases.","G((pickup_request_event = 1) -> F[0,30](robot_at_pickup = 1))","G(pickup_request_event -> F[0,30](robot_at_pickup = 1))",,,,"Possible Boolean-shorthand equivalence (e.g., x versus x = 1); confirm signal_context declares the identifier Boolean.",1,Clarify-inspired Anthropic,,,,,,,,,
MR-097,NLSTL150-134,Formula-first robotics,source_formula,translate,3,Valid but non-identical formula; semantic equivalence not established,"When a pickup request is received, a robot must arrive at the pickup area within 30 seconds.",,,"Boolean (1=true, 0=false): `pickup_request_event`, `robot_at_pickup`. Time: seconds. Use these exact identifiers; do not create aliases.","G((pickup_request_event) -> F[0,30](robot_at_pickup))","G(pickup_request_event -> F[0,30](robot_at_pickup = 1))",,,,,1,Anthropic direct,,,,,,,,,
MR-098,NLSTL150-134,Formula-first robotics,source_formula,translate,3,Valid but non-identical formula; semantic equivalence not established,"When a pickup request is received, a robot must arrive at the pickup area within 30 seconds.",,,"Boolean (1=true, 0=false): `pickup_request_event`, `robot_at_pickup`. Time: seconds. Use these exact identifiers; do not create aliases.","G(pickup_request_event -> F[0,30](robot_at_pickup))","G(pickup_request_event -> F[0,30](robot_at_pickup = 1))",,,,,1,OpenAI direct,,,,,,,,,
MR-099,NLSTL150-134,Formula-first robotics,source_formula,translate,3,Valid but non-identical formula; semantic equivalence not established,"When a pickup request is received, a robot must arrive at the pickup area within 30 seconds.",,,"Boolean (1=true, 0=false): `pickup_request_event`, `robot_at_pickup`. Time: seconds. Use these exact identifiers; do not create aliases.","G(pickup_request_event = 1 -> F[0,30](robot_at_pickup = 1))","G(pickup_request_event -> F[0,30](robot_at_pickup = 1))",,,,"Possible Boolean-shorthand equivalence (e.g., x versus x = 1); confirm signal_context declares the identifier Boolean.",1,Clarify-inspired OpenAI,,,,,,,,,
MR-100,NLSTL150-135,Formula-first robotics,source_formula,translate,4,Valid but non-identical formula; semantic equivalence not established,"If the door-close event occurs while the robot is in the doorway, the robot must leave the doorway within 2 seconds.",,,"Boolean (1=true, 0=false): `door_close_event`, `in_doorway`. Time: seconds. Use these exact identifiers; do not create aliases.","G(((door_close_event = 1) & (in_doorway = 1)) -> F[0,2](in_doorway = 0))","G((door_close_event & in_doorway) -> F[0,2](!(in_doorway)))",,,,,1,Clarify-inspired OpenAI,,,,,,,,,
MR-101,NLSTL150-136,Formula-first robotics,source_formula,translate,5,Valid but non-identical formula; semantic equivalence not established,"Whenever a delivery request event occurs, at least one robot must reach the delivery zone within 45 seconds.",,,"Boolean (1=true, 0=false): `delivery_event`. Objects/locations: `robot_i` (robot indexed by i). Semantics: `OR_i` = disjunction over robots; `in_delivery_zone(robot_i)` = robot i is in the delivery zone. Time: seconds. Use these exact identifiers; do not create aliases.","G((delivery_event = 1) -> F[0,45](OR_i(in_delivery_zone(robot_i) = 1)))","G(delivery_event -> F[0,45](OR_i(in_delivery_zone(robot_i))))",,,,,1,Clarify-inspired OpenAI,,,,,,,,,
MR-102,NLSTL150-137,Formula-first robotics,source_formula,translate,4,Valid but non-identical formula; semantic equivalence not established,"After a guard event begins, the robot must remain in the guard region until a release event occurs within 120 seconds.",,,"Boolean (1=true, 0=false): `guard_event`, `in_guard_region`, `release_event`. Time: seconds. Use these exact identifiers; do not create aliases.","G(guard_event -> (in_guard_region U[0,120] release_event))","G(guard_event -> ((in_guard_region = 1) U[0,120] release_event))",,,,"Possible Boolean-shorthand equivalence (e.g., x versus x = 1); confirm signal_context declares the identifier Boolean.",2,Anthropic direct; OpenAI direct,,,,,,,,,
MR-103,NLSTL150-138,Formula-first robotics,source_formula,translate,4,Valid but non-identical formula; semantic equivalence not established,"When the inspection event occurs, robot 1 must reach region A within 20 seconds and robot 2 must reach region B within 25 seconds.",,,"Boolean (1=true, 0=false): `inspection_event`, `in_A_r1`, `in_B_r2`. Time: seconds. Use these exact identifiers; do not create aliases.","G((inspection_event = 1) -> (F[0,20](in_A_r1 = 1) & F[0,25](in_B_r2 = 1)))","G(inspection_event -> (F[0,20](in_A_r1) & F[0,25](in_B_r2)))",,,,,1,Clarify-inspired Anthropic,,,,,,,,,
MR-104,NLSTL150-140,Formula-first robotics,source_formula,translate,3,Valid but non-identical formula; semantic equivalence not established,"For the next H seconds, lateral position must remain between the left and right lane boundaries.",,,"Numeric: `y`. Parameters: `H` (prediction-horizon duration), `lane_left_bound` (left lane-position boundary), `lane_right_bound` (right lane-position boundary). Time: seconds. Use these exact identifiers; do not create aliases.","G[0,H](y <= lane_left_bound & y >= lane_right_bound)","G[0,H]((y >= lane_left_bound) & (y <= lane_right_bound))",,,,,2,Anthropic direct; Clarify-inspired Anthropic,,,,,,,,,
MR-105,NLSTL150-144,Formula-first robotics,source_formula,translate,4,Valid but non-identical formula; semantic equivalence not established,Reach the destination within 30 seconds while staying in the lane and maintaining at least 2 metres from obstacles.,,,"Numeric: `obstacle_distance` [m]. Boolean (1=true, 0=false): `destination`, `in_lane`. Time: seconds. Use these exact identifiers; do not create aliases.","F[0,30](destination = 1) & G[0,30](in_lane = 1 & obstacle_distance >= 2)","F[0,30](destination = 1) & G[0,30](in_lane = 1) & G[0,30](obstacle_distance >= 2)",,,,,1,Anthropic direct,,,,,,,,,
MR-106,NLSTL150-144,Formula-first robotics,source_formula,translate,4,Valid but non-identical formula; semantic equivalence not established,Reach the destination within 30 seconds while staying in the lane and maintaining at least 2 metres from obstacles.,,,"Numeric: `obstacle_distance` [m]. Boolean (1=true, 0=false): `destination`, `in_lane`. Time: seconds. Use these exact identifiers; do not create aliases.","G[0,30]((in_lane = 1 & obstacle_distance >= 2)) & F[0,30](destination = 1)","F[0,30](destination = 1) & G[0,30](in_lane = 1) & G[0,30](obstacle_distance >= 2)",,,,,1,OpenAI direct,,,,,,,,,
MR-107,NLSTL150-145,Formula-first robotics,source_formula,translate,3,Valid but non-identical formula; semantic equivalence not established,Pass through region A between 2 and 4 seconds and avoid region B from 2 through 8 seconds.,,,"Boolean (1=true, 0=false): `in_A`, `in_B`. Time: seconds. Use these exact identifiers; do not create aliases.","F[2,4](in_A = 1) & G[2,8](!(in_B = 1))","F[2,4](in_A) & G[2,8](!(in_B))",,,,,1,Clarify-inspired OpenAI,,,,,,,,,
MR-108,NLSTL150-149,Formula-first robotics,source_formula,translate,3,Valid but non-identical formula; semantic equivalence not established,"During insertion, contact force must remain below 20 newtons.",,,"Numeric: `contact_force` [N]. Boolean (1=true, 0=false): `insertion_phase`. Time: follows the requirement; unbounded operators have no finite interval. Use these exact identifiers; do not create aliases.",G((insertion_phase = 1) -> (contact_force < 20)),G(insertion_phase -> (contact_force < 20)),,,,"Possible Boolean-shorthand equivalence (e.g., x versus x = 1); confirm signal_context declares the identifier Boolean.",2,Clarify-inspired Anthropic; OpenAI direct,,,,,,,,,
MR-109,NLSTL150-150,Formula-first robotics,source_formula,translate,4,Valid but non-identical formula; semantic equivalence not established,Place the object in the target region within 15 seconds while the end effector always avoids the forbidden region.,,,"Boolean (1=true, 0=false): `object_in_target`, `end_effector_in_forbidden`. Time: seconds. Use these exact identifiers; do not create aliases.","F[0,15](object_in_target = 1) & G(end_effector_in_forbidden = 0)","F[0,15](object_in_target = 1) & G(!(end_effector_in_forbidden = 1))",,,,,1,Anthropic direct,,,,,,,,,
MR-110,NLSTL150-150,Formula-first robotics,source_formula,translate,4,Valid but non-identical formula; semantic equivalence not established,Place the object in the target region within 15 seconds while the end effector always avoids the forbidden region.,,,"Boolean (1=true, 0=false): `object_in_target`, `end_effector_in_forbidden`. Time: seconds. Use these exact identifiers; do not create aliases.","F[0,15](object_in_target) & G(!(end_effector_in_forbidden))","F[0,15](object_in_target = 1) & G(!(end_effector_in_forbidden = 1))",,,,,1,OpenAI direct,,,,,,,,,
